path,size_bytes,sha256,purpose
Chapter_07/azure-internal-skills/.github/skills/azure-observability-investigation/incident-brief.md,368,0c6fab17db257d61a0384b2ddee94653767c6153a558a479348170cb5f990a9c,Exercise 7-2 installed observability skill
Chapter_07/azure-internal-skills/.github/skills/azure-observability-investigation/SKILL.md,1543,d7efad0add0b4ffa5e99f7a3f10d51a497bbdb87b19af84975624c83be517e92,Exercise 7-2 installed observability skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/queries/dependencies.kql,428,24edab7a6eb67687bb5cb773fce03057b3182d87a998f524ec3da8c446b67459,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/queries/exceptions.kql,160,248e5f97ab77ac5bd9c405934afd4b780d412f8fca64534c3eb7481b43b78d31,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/queries/requests.kql,661,8aa2ec50e1cb2236653b728570ca6f54536a6c1c5f0236a76233e639607bbd5f,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/queries/traces.kql,289,5af37eae123e6c705836d6bda201281f5beaa435da255b6ab80f20b48555886d,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/query-test-record.md,257,c866216da79496659056f66c9ebcb3de1032cb47f59eb8814711d53af6c64586,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/README.md,441,ee906294a66ad341a3da78fe2f25a3ed2acb6c5f6e3fdf620df5d5f6a1998844,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-kql-diagnostics/SKILL.md,1225,27ee65df9ebd3a5d1e0433339cf0cdc2280d816a9c2321ff042ccd1d6cc1d341,Exercise 7-1 canonical KQL skill
Chapter_07/azure-internal-skills/skills/azure-observability-investigation/incident-brief.md,368,0c6fab17db257d61a0384b2ddee94653767c6153a558a479348170cb5f990a9c,Exercise 7-2 canonical observability skill
Chapter_07/azure-internal-skills/skills/azure-observability-investigation/SKILL.md,1543,d7efad0add0b4ffa5e99f7a3f10d51a497bbdb87b19af84975624c83be517e92,Exercise 7-2 canonical observability skill
Chapter_07/azure-monitor-lab-resources.md,310,ae7a42549ff901218f45d20e1832b920cb02aec939a81b4e7bc1681ae2f3c8f2,Exercise 7-1 Azure resource record
Chapter_07/evaluations/azure-monitor-query-output.csv,465,305666db11d7f72e8e6877d24816891a323591bb396391cb2531da01c8afc2fd,Exercise 7-1 offline evidence sample
Chapter_07/live-investigation-record.md,809,d39b6e5b20ed88d94b7d0815b3d3dc36577511e0b697108cd839885a4c9c4c64,Exercise 7-2 investigation record
Chapter_07/README.md,532,5b31061fdd168308b4e2745bd7a07cd0d1cf959acb5e5b8a384589cb9a9f3ab8,Chapter guide
Chapter_07/reference-skills/azure-incident-triage/SKILL.md,1141,8757517f12fa4d41df2cd565c4189a1300d59514a1c0d1c4c15308f2d73de109,Chapter 7 prose reference skill
Chapter_07/reference-skills/azure-post-incident-review/SKILL.md,1229,91af6c4930273f04a9cb9de2904693af04c635388fbe81521a36b7dd130ca320,Chapter 7 prose reference skill
Chapter_07/reference-skills/README.md,206,5d2901cec301882de4eb56470d16bccffe83235b6331565a13762eaf54a7067f,Chapter 7 prose reference guide
Chapter_07/telemetry-sample/generate-traffic.ps1,470,6890cb05ed6bb917f45fc16b578a604754c323b35807b53159a5ee7ac0e4c951,Optional Chapter 7 traffic generator
Chapter_07/telemetry-sample/README.md,876,17d9a6dc731602549c67db699d3f34948af8ce6afb8e7b1be9ef954e8e486e8e,Optional Chapter 7 telemetry sample guide
Chapter_07/telemetry-sample/SkillOpsTelemetryApi/Program.cs,652,b2154ee0cf08aced400f0bf7e01abd44b94897c623d8d56c63ac73cf3becc3a1,Optional Chapter 7 ASP.NET source
Chapter_07/telemetry-sample/SkillOpsTelemetryApi/SkillOpsTelemetryApi.csproj,326,eda48b4fc2be30344275445c14198122514cdb6dfcece3495acb2f7e3561d263,Optional Chapter 7 ASP.NET project
Chapter_08/azure-internal-skills/.github/skills/azure-ai-search-retrieval-design/retrieval-brief.md,537,14ddedf29e2c1e3334949db17eb9bbe29f1209db5a55536e50487bca7c936db2,Exercise 8-1 installed retrieval skill
Chapter_08/azure-internal-skills/.github/skills/azure-ai-search-retrieval-design/SKILL.md,1266,3f3a78c63c9ac55af2de789431959005c491dd5141e134da03541fcd8307a65a,Exercise 8-1 installed retrieval skill
Chapter_08/azure-internal-skills/skills/azure-ai-search-retrieval-design/retrieval-brief.md,537,14ddedf29e2c1e3334949db17eb9bbe29f1209db5a55536e50487bca7c936db2,Exercise 8-1 canonical retrieval skill
Chapter_08/azure-internal-skills/skills/azure-ai-search-retrieval-design/SKILL.md,1266,3f3a78c63c9ac55af2de789431959005c491dd5141e134da03541fcd8307a65a,Exercise 8-1 canonical retrieval skill
Chapter_08/foundry-search-integration-record.md,1196,863d6f09ed86423c77c517582825251c75f4c53c9da55a5494b43539b7ede29e,Exercise 8-2 integration record
Chapter_08/policy-retrieval-hosted-agent/azure.yaml.reference,1194,55fb9573f9f6e5b1f1ce6365dc6943823f362653e40f876fb27282887fdee8db,Policy Retrieval Hosted Agent azure.yaml reference
Chapter_08/policy-retrieval-hosted-agent/README.md,1223,1ce06211cacf22fdced53aafcff4b12c0fae1fedf39b60768b23de53b08a1b69,Policy Retrieval Hosted Agent source guide
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/.azdignore,55,c6a4a5bd108d3608b7c0bf4f81bcbe951afdecd693357bd6e5bc1cd697c0cc27,Policy Retrieval Hosted Agent azd ignore
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/.dockerignore,63,334b7522551430a9bf905c3e171c0bad9037d0dac5955c8c1c325e01e1c0938f,Policy Retrieval Hosted Agent Docker ignore
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/.env.example,527,9cf6c21c14e4d735b21ec230e923758e1ae14b511c8e5355c323e6ea9958a49c,Policy Retrieval Hosted Agent environment template
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/Dockerfile,215,9dfaccb413586d33a684f0e8eb1d560117ceaf8df62747d692f5617ec070e877,Policy Retrieval Hosted Agent optional Dockerfile
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/main.py,3051,94ff6a77a447504ccb52f525c97b1cead9624a001b7a9206d721aea2e3e28415,Policy Retrieval Hosted Agent main Python source
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/requirements.txt,106,1338b4964f80215fc887b034ed07ecf6c07c09b7c16038910ef10a32d1803ce2,Policy Retrieval Hosted Agent Python requirements
Chapter_08/policy-retrieval-hosted-agent/src/skillops-toolbox-agent/toolbox.yaml,543,5a5337f2c0f1305063dde9346715537031e7e5446a46aa3e35f79243dd372595,Policy Retrieval Hosted Agent toolbox definition
Chapter_08/policy-retrieval-hosted-agent/test-prompts.md,373,7e6da318893f5db62ab7ad63611b377952307f9a37e7f1bc1a6846bd93c820ba,Exercise 8-2 test prompts
Chapter_08/policy-retrieval-toolbox.yaml,515,45e14333341d2cfeffc3bfc94af69d3466d2a7274ade8ea7d1a0d1722fe1e87a,Exercise 8-2 active toolbox configuration
Chapter_08/README.md,704,4d5b9e576893636ba8ffae893ea29b90f6037a5585c9c737dc590affecd7c726,Chapter guide
Chapter_08/reference-skills/azure-ai-data-boundary-review/data-boundary-brief.md,472,e33882c339438601393aefe81df3b2ea29c511eeefcae63649fae0e492d3bfc7,Chapter 8 prose reference skill
Chapter_08/reference-skills/azure-ai-data-boundary-review/SKILL.md,1188,f2d59ee497c4d56c50c223be4cf34ad37e8b5c4d9343be8f4d192f5899d36072,Chapter 8 prose reference skill
Chapter_08/reference-skills/azure-foundry-workflow-planning/foundry-project-brief.md,485,fa35381dc78785fcb1bf6211855c684a58108a2280bfb197e70b46c0ef9de66f,Chapter 8 prose reference skill
Chapter_08/reference-skills/azure-foundry-workflow-planning/SKILL.md,1333,1ac886d56385cadf6a217f7e31136cc0e6e6bcf64a5505eb8fbce0700898411f,Chapter 8 prose reference skill
Chapter_08/reference-skills/azure-model-deployment-evaluation/model-deployment-brief.md,512,7550eba4b482cc1a132c6250cbe4e8167c806282c5caaa4e0f8bb8b8563e537b,Chapter 8 prose reference skill
Chapter_08/reference-skills/azure-model-deployment-evaluation/SKILL.md,1317,b0a40204ce06cf17a0972000b073e658bc40e5abbf0952fca8ea33cab94dce26,Chapter 8 prose reference skill
Chapter_08/reference-skills/README.md,222,4b755ac5cd5a06812b1de56b1db4500a86ecac28f6da4cdc25c0808b2bf5af95,Chapter 8 prose reference guide
Chapter_08/sample-policy-documents/benefits-enrolment.txt,386,ee76aaecbfa9a4d49cf1e9f8f4659afabca29c811f37c830757c99702d9bce7a,Exercise 8-2 fictional policy source
Chapter_08/sample-policy-documents/onboarding.txt,369,3f5626b8bf28c393cc87966f72bd68d5d3132355bbd0f76d58f6a97d11a1d011,Exercise 8-2 fictional policy source
Chapter_08/sample-policy-documents/parental-leave.txt,487,0610c1d82fce4ded405eb25e67a27c80a54fea7fe3bf11376b9583c1045d44da,Exercise 8-2 fictional policy source
Chapter_09/evaluations/app-service-comparison-prompt.md,572,dc711e54af53ef23192eecd8ed5f0de92ea0cd51d2317336780a39552e2e36e2,Exercise 9-2 common prompt
Chapter_09/evaluations/app-service-comparison.md,513,22062d2ba0e6eb26992041bb02c71dbfd205e05a7a34eb33f258b7f48698a9dd,Exercise 9-2 response/comparison template
Chapter_09/evaluations/app-service-hosted-with-skill.md,381,6714a100bd311b8e82b974226b3518c37207abcf466caed4841f1791430230ed,Exercise 9-2 hosted response template
Chapter_09/evaluations/app-service-with-skill.md,73,b0ef9046d9e8ceaf0e3ef4ddb21d82655f5152bde107112fec6ff46c7d7f0d6b,Exercise 9-2 response/comparison template
Chapter_09/evaluations/app-service-without-skill.md,68,38b837e7b02a35b8f21a7d6d9742f810e1762458b4b2eac3af519db27286dfad,Exercise 9-2 response/comparison template
Chapter_09/evaluations/evaluation-record.yaml,534,25468e5786975902222580c1ac14a322713cca0f728cb17d6edafe3e8c34d43b,Exercise 9-1 evaluation record
Chapter_09/evaluations/foundry-skill-evaluation.jsonl,1261,e7b533076a413ef1fa7992fa6624d37b9b6eb55bcc861cf5c7e00d0bf8339b43,Exercise 9-4 Foundry evaluation dataset
Chapter_09/evaluations/golden-tasks/app-service-review-001.yaml,1133,69322e2743ffe9f13b2c37f6cf0221e288bced5ea6ca749b4d2ae7a69f80194d,Exercise 9-1 App Service golden task
Chapter_09/evaluations/golden-tasks/storage-security-review-001.yaml,1010,67fde9abbc4c9adc094070a94f7259105a15eaa622ce59eddbd208bea02fb7a4,Exercise 9-1 Storage golden task
Chapter_09/evaluations/hosted-agent-evaluation-record.md,922,d2faf30ad23b18bb7515e6fc7f3e981457d13e8f478b8f799afa28cf0881ce36,Exercise 9-4 evaluation record
Chapter_09/README.md,414,2616d01bc729c7591492cfa2bd90074bc64a0b99394b876974786cb9ef2fcfe5,Chapter guide
Chapter_09/reference/CHANGELOG-example.md,680,f1441e3513c8dafb646558c3c94dc0df2bec9e999b2f359c13c6de1bbf02afb9,Chapter 9 versioning reference
Chapter_09/reference/evaluation-checklist.md,648,d147eed54d7299bdfba194465f275099695b36f2a4d036d4202a98dcd44df73c,Chapter 9 reference checklist
Chapter_10/candidate-policy-retrieval-toolbox.yaml,535,69aac056982fa1342d4d0ef49f46d70c9904579c7c2d2a677f6c1f3ec88ddb32,Exercise 10-6 candidate toolbox
Chapter_10/governance/hosted-agent-release-record.md,959,d0d6f20004c15a01de8ee3a3145e10dc4b8cc9d903b644e4d94047fa0a77f7fd,Exercise 10-6 release record
Chapter_10/governance/mcp-access-boundary-design.md,1281,18bf892ae4e24096859428135ce637a6ea79eb686b48d93d3d441ed0390ae861,Exercise 10-3 access boundary
Chapter_10/governance/skill-approval-workflow.md,1174,96652addaf7d9bbe6d74172eef2237bb38f0e7405624cf8125f414f7da5ace79,Exercise 10-1 approval workflow
Chapter_10/promotion-and-rollback-commands.md,921,8978cab836b3d0110caa44e5eed477a4036d67d7ac661d9d5d421dffb4dffb3e,Exercise 10-6 command reference
Chapter_10/README.md,345,5d050173bfb55d066d4f42ada1d0d48991933dbb433443f14df201d3095b47d8,Chapter guide
Chapter_10/reference/azure-app-service-deployment-review-catalog-entry.md,1049,c65b77fc368b120d3a852759f0fe8659e5a74b878e5cce64e511f6dce8e5ea64,Chapter 10 catalog reference
Chapter_10/reference/CODEOWNERS.example,909,db23035444672471f5947404a5472a4089a40cec84a5536901dedf6ed913b5f1,Chapter 10 ownership reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-ai-search-retrieval-design/retrieval-brief.md,537,14ddedf29e2c1e3334949db17eb9bbe29f1209db5a55536e50487bca7c936db2,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-ai-search-retrieval-design/SKILL.md,1266,3f3a78c63c9ac55af2de789431959005c491dd5141e134da03541fcd8307a65a,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-app-service-deployment-review/examples/app-service-design-brief.md,407,09267b672e01276da7b55eb2c874b88524b2159150e1912514cf798f5e7b331a,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-app-service-deployment-review/SKILL.md,1995,d49a862a6c777dcab18371c68372807d1ae0c82d59ff7089f7db43c14f23ddb5,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-deployment-validation-review/SKILL.md,1569,0c2a3266633dad9e406a5c4dfb6cf57bf956c49d088116dd4e66bd9cf0a9ec7f,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/dependencies.kql,428,24edab7a6eb67687bb5cb773fce03057b3182d87a998f524ec3da8c446b67459,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/exceptions.kql,160,248e5f97ab77ac5bd9c405934afd4b780d412f8fca64534c3eb7481b43b78d31,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/requests.kql,661,8aa2ec50e1cb2236653b728570ca6f54536a6c1c5f0236a76233e639607bbd5f,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-kql-diagnostics/queries/traces.kql,289,5af37eae123e6c705836d6bda201281f5beaa435da255b6ab80f20b48555886d,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-kql-diagnostics/query-test-record.md,257,c866216da79496659056f66c9ebcb3de1032cb47f59eb8814711d53af6c64586,Final repository reference
Final_Completed_Repository/azure-internal-skills/.github/skills/azure-kql-diagnostics/README.md,441,ee906294a66ad341a3da78fe2f25a3ed2acb6c5f6e3fdf620df5d5f6a1998844,Final repository reference
